r1,r2,fhd
0,0,0.0
0,1,0.49
0,2,0.5375
0,3,0.485
0,4,0.54
0,5,0.5725
0,6,0.4925
0,7,0.4575
0,8,0.505
0,9,0.465
0,10,0.53
0,11,0.54
0,12,0.47
0,13,0.53
0,14,0.585
0,15,0.5575
0,16,0.5475
0,17,0.48
0,18,0.5375
0,19,0.45
0,20,0.455
0,21,0.545
0,22,0.53
0,23,0.53
0,24,0.4675
0,25,0.5525
0,26,0.4975
0,27,0.5375
0,28,0.4375
0,29,0.5225
0,30,0.5275
0,31,0.495
0,32,0.47
0,33,0.4925
0,34,0.5325
0,35,0.455
0,36,0.53
0,37,0.5275
0,38,0.5125
0,39,0.485
0,40,0.5175
0,41,0.505
0,42,0.5425
0,43,0.4375
0,44,0.4975
0,45,0.5375
0,46,0.5
0,47,0.515
0,48,0.4925
0,49,0.5075
0,50,0.525
0,51,0.4875
0,52,0.5
0,53,0.5075
0,54,0.48
0,55,0.5475
0,56,0.48
0,57,0.4925
0,58,0.49
0,59,0.5075
0,60,0.52
0,61,0.4625
0,62,0.495
0,63,0.5525
0,64,0.56
0,65,0.43
0,66,0.4725
0,67,0.4975
0,68,0.47
0,69,0.5325
0,70,0.47
0,71,0.485
0,72,0.4925
0,73,0.51
0,74,0.5125
0,75,0.485
0,76,0.44
0,77,0.515
0,78,0.4775
1,0,0.49
1,1,0.0
1,2,0.5325
1,3,0.555
1,4,0.535
1,5,0.4575
1,6,0.5175
1,7,0.5175
1,8,0.49
1,9,0.54
1,10,0.475
1,11,0.5
1,12,0.49
1,13,0.47
1,14,0.51
1,15,0.4525
1,16,0.5425
1,17,0.45
1,18,0.4725
1,19,0.51
1,20,0.49
1,21,0.49
1,22,0.475
1,23,0.525
1,24,0.5175
1,25,0.4925
1,26,0.5625
1,27,0.5175
1,28,0.4825
1,29,0.4825
1,30,0.4575
1,31,0.58
1,32,0.495
1,33,0.5225
1,34,0.5125
1,35,0.54
1,36,0.535
1,37,0.5325
1,38,0.4625
1,39,0.525
1,40,0.4775
1,41,0.495
1,42,0.4575
1,43,0.4825
1,44,0.4925
1,45,0.4925
1,46,0.41
1,47,0.485
1,48,0.4975
1,49,0.5175
1,50,0.475
1,51,0.4725
1,52,0.485
1,53,0.5025
1,54,0.45
1,55,0.4625
1,56,0.515
1,57,0.5075
1,58,0.5
1,59,0.5325
1,60,0.505
1,61,0.5425
1,62,0.495
1,63,0.5225
1,64,0.485
1,65,0.495
1,66,0.4975
1,67,0.5125
1,68,0.47
1,69,0.5125
1,70,0.47
1,71,0.54
1,72,0.5375
1,73,0.495
1,74,0.4925
1,75,0.45
1,76,0.47
1,77,0.525
1,78,0.4775
2,0,0.5375
2,1,0.5325
2,2,0.0
2,3,0.4725
